# Experiment Info:
# POSIX_Start: 1738668221.931160
# System_Time: 20250204_122341
# Display_Hz: 60.0
# ITI_Range: 1.005006 - 3.004990
# Images_N: 51
# Log_Path: \\megstoreemo2.uni-muenster.de\EmoData\trajdos\EmoScenesApp\logs\EmoScenes_20250204_122341.txt
#
# Format for break lines:
# BREAK,<POSIX_time>,<reason>,<details>
#
Timestamp,BlockTrial,StimFile,StimON,StimOFF,Stim_Duration,Target_ITI,Actual_ITI,ITI_Error
1738668224.588488,t001,highpos_04.jpg,1738668223.984722,1738668224.588488,0.603766,1.509282,0.000000,-1.509282
1738668227.065867,t002,highpos_02.jpg,1738668226.463161,1738668227.065867,0.602706,1.868245,1.874673,0.006428
1738668229.331513,t003,highpos_08.jpg,1738668228.726180,1738668229.331513,0.605333,1.652841,1.660313,0.007472
1738668232.411514,t004,neutral_09.jpg,1738668231.816160,1738668232.411514,0.595355,2.481776,2.484647,0.002871
1738668235.423271,t005,neutral_04.jpg,1738668234.820367,1738668235.423271,0.602904,2.387782,2.408853,0.021071
1738668237.249481,t006,highpos_27.jpg,1738668236.643972,1738668237.249481,0.605510,1.209140,1.220701,0.011561
1738668240.043154,t007,highpos_07.jpg,1738668239.440576,1738668240.043154,0.602578,2.184134,2.191095,0.006960
1738668241.665925,t008,highpos_26.jpg,1738668241.070859,1738668241.665925,0.595066,1.022695,1.027704,0.005009
1738668245.153073,t009,neutral_23.jpg,1738668244.551238,1738668245.153073,0.601835,2.868166,2.885314,0.017148
1738668248.076728,t010,neutral_17.jpg,1738668247.477499,1738668248.076728,0.599229,2.314274,2.324426,0.010152
1738668250.448630,t011,neutral_21.jpg,1738668249.847552,1738668250.448630,0.601078,1.754265,1.770824,0.016559
1738668253.921563,t012,neutral_19.jpg,1738668253.321406,1738668253.921563,0.600157,2.855781,2.872776,0.016996
1738668257.022044,t013,neutral_16.jpg,1738668256.425343,1738668257.022044,0.596701,2.485019,2.503780,0.018761
1738668260.579044,t014,highpos_09.jpg,1738668259.981820,1738668260.579044,0.597224,2.942364,2.959776,0.017412
1738668263.984726,t015,neutral_14.jpg,1738668263.385622,1738668263.984726,0.599104,2.795583,2.806578,0.010995
1738668267.536771,t016,neutral_18.jpg,1738668266.942082,1738668267.536771,0.594689,2.945055,2.957356,0.012301
1738668270.688150,t017,neutral_03.jpg,1738668270.085160,1738668270.688150,0.602990,2.530257,2.548389,0.018132
1738668273.735067,t018,highpos_15.jpg,1738668273.135717,1738668273.735067,0.599349,2.432956,2.447567,0.014611
1738668277.172161,t019,highpos_01.jpg,1738668276.572048,1738668277.172161,0.600113,2.826551,2.836981,0.010430
1738668279.163304,t020,highpos_29.jpg,1738668278.562508,1738668279.163304,0.600796,1.380640,1.390347,0.009707
1738668281.396253,t021,neutral_06.jpg,1738668280.800108,1738668281.396253,0.596145,1.630101,1.636804,0.006703
1738668284.630057,t022,highpos_06.jpg,1738668284.025492,1738668284.630057,0.604565,2.617476,2.629238,0.011762
1738668286.560245,t023,highpos_05.jpg,1738668285.958370,1738668286.560245,0.601875,1.322005,1.328313,0.006308
1738668289.525064,t024,neutral_24.jpg,1738668288.923788,1738668289.525064,0.601275,2.348569,2.363544,0.014974
1738668292.943217,t025,neutral_12.jpg,1738668292.340036,1738668292.943217,0.603181,2.807076,2.814973,0.007897
1738668295.349832,t026,highpos_14.jpg,1738668294.747116,1738668295.349832,0.602715,1.789211,1.803899,0.014689
1738668297.408045,t027,highpos_10.jpg,1738668296.810375,1738668297.408045,0.597671,1.454284,1.460543,0.006259
1738668299.293754,t028,neutral_20.jpg,1738668298.691771,1738668299.293754,0.601984,1.265702,1.283725,0.018024
1738668302.179126,t029,neutral_02.jpg,1738668301.579520,1738668302.179126,0.599606,2.269061,2.285766,0.016704
1738668304.111134,t030,neutral_22.jpg,1738668303.505162,1738668304.111134,0.605972,1.313553,1.326036,0.012482
1738668306.322776,t031,neutral_08.jpg,1738668305.718164,1738668306.322776,0.604612,1.597557,1.607030,0.009473
1738668308.234213,t032,highpos_16.jpg,1738668307.631599,1738668308.234213,0.602614,1.306625,1.308823,0.002199
1738668310.310435,t033,highpos_13.jpg,1738668309.704229,1738668310.310435,0.606206,1.464210,1.470016,0.005806
1738668312.186087,t034,highpos_19.jpg,1738668311.580417,1738668312.186087,0.605670,1.259743,1.269983,0.010240
1738668315.494223,t035,neutral_15.jpg,1738668314.890574,1738668315.494223,0.603649,2.694496,2.704486,0.009990
1738668317.923622,t036,neutral_25.jpg,1738668317.317362,1738668317.923622,0.606260,1.814223,1.823139,0.008916
1738668319.760471,t037,highpos_03.jpg,1738668319.158607,1738668319.760471,0.601863,1.225228,1.234986,0.009758
1738668321.857797,t038,highpos_25.jpg,1738668321.253818,1738668321.857797,0.603978,1.482319,1.493348,0.011029
1738668325.120467,t039,neutral_13.jpg,1738668324.525541,1738668325.120467,0.594925,2.661908,2.667745,0.005836
1738668328.355148,t040,highpos_12.jpg,1738668327.748770,1738668328.355148,0.606378,2.608635,2.628303,0.019668
1738668330.900570,t041,highpos_11.jpg,1738668330.305248,1738668330.900570,0.595322,1.945503,1.950100,0.004597
1738668333.343890,t042,neutral_05.jpg,1738668332.748699,1738668333.343890,0.595192,1.829319,1.848129,0.018810
1738668335.531769,t043,neutral_07.jpg,1738668334.933506,1738668335.531769,0.598263,1.572977,1.589615,0.016638
1738668337.389059,t044,neutral_01.jpg,1738668336.783047,1738668337.389059,0.606011,1.242580,1.251279,0.008699
1738668340.982510,t045,highpos_24.jpg,1738668340.376041,1738668340.982510,0.606469,2.981648,2.986982,0.005334
1738668344.235614,t046,highpos_17.jpg,1738668343.640751,1738668344.235614,0.594863,2.646296,2.658241,0.011944
1738668346.018726,t047,neutral_10.jpg,1738668345.412223,1738668346.018726,0.606503,1.164679,1.176609,0.011930
1738668348.186687,t048,highpos_22.jpg,1738668347.581718,1738668348.186687,0.604969,1.554902,1.562992,0.008090
1738668350.341774,t049,neutral_11.jpg,1738668349.739847,1738668350.341774,0.601927,1.545086,1.553159,0.008074
