CrossTime,SceneTime,PicDuration,Target_ITI,Actual_ITI,ITI_Error,Block,Trial,Stimulus
1730814933.130225,1730814934.944881,0.600000,2.444463,0.000000,-2.444463,0,1,lowpos_27.jpg
1730814935.552218,1730814936.335173,0.600000,1.394643,1.390292,-0.004352,0,2,neutral_01.jpg
1730814936.937312,1730814939.315648,0.600000,2.979330,2.980475,0.001145,0,3,highneg_20.jpg
1730814939.910697,1730814940.308826,0.600000,1.001390,0.993178,-0.008212,0,4,lowneg_21.jpg
1730814940.903507,1730814941.642773,0.600000,1.339788,1.333947,-0.005841,0,5,highpos_26.jpg
1730814942.241256,1730814944.351809,0.600000,2.720891,2.709036,-0.011855,0,6,highpos_15.jpg
1730814944.948157,1730814945.890380,0.600000,1.550353,1.538571,-0.011782,0,7,neutral_22.jpg
1730814946.585368,1730814948.301476,0.600000,2.426975,2.411096,-0.015879,0,8,lowpos_06.jpg
1730814948.896976,1730814950.352887,0.600000,2.059497,2.051411,-0.008086,0,9,neutral_19.jpg
1730814951.059365,1730814952.339049,0.600000,1.985723,1.986162,0.000439,0,10,lowpos_08.jpg
1730814952.932787,1730814955.006735,0.600000,2.674662,2.667686,-0.006976,0,11,neutral_08.jpg
1730814955.599193,1730814957.494694,0.600000,2.498537,2.487959,-0.010578,0,12,lowneg_19.jpg
1730814958.085275,1730814958.510768,0.600000,1.030011,1.016074,-0.013937,0,13,highneg_22.jpg
1730814959.107541,1730814959.987774,0.600000,1.478332,1.477006,-0.001326,0,14,highpos_17.jpg
1730814960.582786,1730814962.522382,0.600000,2.537781,2.534608,-0.003173,0,15,highpos_07.jpg
1730814963.111512,1730814964.321845,0.600000,1.808564,1.799463,-0.009101,0,16,highpos_27.jpg
1730814964.915413,1730814966.627353,0.600000,2.323200,2.305508,-0.017692,0,17,neutral_17.jpg
1730814967.223005,1730814968.376105,0.600000,1.749831,1.748752,-0.001079,0,18,highneg_16.jpg
1730814968.957412,1730814969.936011,0.600000,1.588228,1.559906,-0.028322,0,19,lowpos_09.jpg
1730814970.532793,1730814971.061766,0.600000,1.137113,1.125755,-0.011358,0,20,highneg_15.jpg
1730814971.654181,1730814972.349618,0.600000,1.296702,1.287852,-0.008850,0,21,lowpos_29.jpg
1730814972.945094,1730814973.528671,0.600000,1.186018,1.179053,-0.006965,0,22,lowpos_12.jpg
1730814974.129302,1730814975.757038,0.600000,2.234743,2.228367,-0.006376,0,23,lowneg_16.jpg
1730814976.353604,1730814978.513607,0.600000,2.769287,2.756569,-0.012718,0,24,neutral_18.jpg
1730814979.108186,1730814980.902741,0.600000,2.396806,2.389134,-0.007672,0,25,lowpos_22.jpg
1730814981.497824,1730814983.841348,0.600000,2.946267,2.938607,-0.007660,0,26,lowneg_10.jpg
1730814984.431978,1730814985.570474,0.600000,1.733126,1.729126,-0.004000,0,27,highneg_01.jpg
1730814986.167253,1730814988.008394,0.600000,2.441277,2.437920,-0.003357,0,28,highneg_17.jpg
1730814988.606465,1730814989.080533,0.600000,1.081760,1.072139,-0.009621,0,29,neutral_25.jpg
1730814989.676550,1730814991.237568,0.600000,2.153620,2.157035,0.003415,0,30,highneg_02.jpg
1730814991.832182,1730814992.848939,0.600000,1.608856,1.611371,0.002515,0,31,highpos_06.jpg
1730814993.443306,1730814995.641941,0.600000,2.796678,2.793002,-0.003676,0,32,lowneg_08.jpg
1730814996.236011,1730814998.414566,0.600000,2.785241,2.772625,-0.012616,0,33,neutral_10.jpg
1730814999.008796,1730814999.970299,0.600000,1.567029,1.555733,-0.011296,0,34,lowpos_02.jpg
1730815000.565353,1730815001.265058,0.600000,1.294939,1.294759,-0.000180,0,35,highneg_10.jpg
1730815001.861559,1730815003.778843,0.600000,2.510847,2.513785,0.002938,0,36,highneg_05.jpg
1730815004.370392,1730815005.436407,0.600000,1.663009,1.657564,-0.005444,0,37,highneg_08.jpg
1730815006.021325,1730815006.890649,0.600000,1.467652,1.454242,-0.013410,0,38,highneg_09.jpg
1730815007.482636,1730815009.452496,0.600000,2.569193,2.561847,-0.007346,0,39,neutral_12.jpg
1730815010.045732,1730815012.070537,0.600000,2.624955,2.618041,-0.006914,0,40,highneg_23.jpg
1730815012.665111,1730815014.642739,0.600000,2.569452,2.572202,0.002750,0,41,highneg_14.jpg
1730815015.229263,1730815017.089390,0.600000,2.456067,2.446651,-0.009416,0,42,neutral_11.jpg
1730815017.685021,1730815018.336592,0.600000,1.244986,1.247202,0.002216,0,43,neutral_07.jpg
1730815018.928768,1730815020.004367,0.600000,1.671941,1.667775,-0.004165,0,44,neutral_03.jpg
1730815020.599680,1730815021.050354,0.600000,1.047517,1.045987,-0.001531,0,45,lowpos_10.jpg
1730815021.644372,1730815023.631542,0.600000,2.588569,2.581188,-0.007381,0,46,highpos_13.jpg
1730815024.221651,1730815025.602583,0.600000,1.976917,1.971041,-0.005876,0,47,neutral_14.jpg
1730815026.198133,1730815027.195009,0.600000,1.602708,1.592426,-0.010282,0,48,lowneg_06.jpg
1730815027.789462,1730815029.203535,0.600000,2.012251,2.008526,-0.003724,0,49,lowpos_14.jpg
1730815029.801757,1730815031.265756,0.600000,2.059459,2.062221,0.002762,0,50,neutral_06.jpg
1730815031.861877,1730815033.347820,0.600000,2.085367,2.082064,-0.003303,0,51,lowneg_03.jpg
1730815033.940296,1730815034.435298,0.600000,1.093701,1.087478,-0.006223,0,52,neutral_16.jpg
1730815035.031541,1730815035.437511,0.600000,1.003615,1.002213,-0.001402,0,53,highneg_25.jpg
1730815036.035126,1730815037.622913,0.600000,2.182426,2.185402,0.002976,0,54,neutral_24.jpg
1730815038.216394,1730815040.309362,0.600000,2.696438,2.686449,-0.009989,0,55,lowpos_25.jpg
1730815040.906009,1730815041.808006,0.600000,1.490377,1.498644,0.008267,0,56,lowneg_25.jpg
1730815042.397654,1730815042.960808,0.600000,1.161810,1.152802,-0.009008,0,57,lowpos_21.jpg
