# Experiment Info:
# Start_Time: 20250117_132136
# OSC_IP: 127.0.0.1
# OSC_Port: 5002
# Log_Path: \\megstoreemo2.uni-muenster.de\EmoData\trajdos\EmoScenesApp\logs\ShamScenes_20250117_132136.txt
#
# Format for break lines:
# BREAK,<time>,<reason>,<details>
#
Timestamp,Trial,StimFile,StimON,StimOFF,Stim_Duration,Target_ITI,Actual_ITI,ITI_Error,EEGConnected
1737116535.351038,1,checkerboard195.png,1737116534.746890,1737116535.351038,0.604148,1.517020,0.000000,-1.517020,1
1737116537.385246,2,checkerboard195_inverted.png,1737116536.782023,1737116537.385246,0.603223,1.379067,1.430985,0.051918,1
1737116539.153113,3,checkerboard225.png,1737116538.551538,1737116539.153113,0.601574,1.122992,1.166293,0.043301,1
1737116541.982236,4,checkerboard225_inverted.png,1737116541.381769,1737116541.982236,0.600467,2.179834,2.228656,0.048823,1
1737116545.283914,5,checkerboard195.png,1737116544.684624,1737116545.283914,0.599290,2.687556,2.702388,0.014831,1
1737116548.272352,6,checkerboard195_inverted.png,1737116547.666378,1737116548.272352,0.605974,2.355486,2.382464,0.026978,1
1737116550.889513,7,checkerboard195.png,1737116550.288502,1737116550.889513,0.601011,1.995076,2.016150,0.021074,1
1737116554.476219,8,checkerboard195_inverted.png,1737116553.870380,1737116554.476219,0.605839,2.960905,2.980867,0.019962,1
1737116557.042062,9,checkerboard195.png,1737116556.445095,1737116557.042062,0.596967,1.957307,1.968876,0.011570,1
1737116560.252849,10,checkerboard195_inverted.png,1737116559.654488,1737116560.252849,0.598361,2.595165,2.612426,0.017261,1
1737116562.293669,11,checkerboard255.png,1737116561.694223,1737116562.293669,0.599446,1.248733,1.441374,0.192641,1
1737116564.692498,12,checkerboard255_inverted.png,1737116564.090913,1737116564.692498,0.601585,1.673317,1.797243,0.123926,1
1737116568.022592,13,checkerboard195.png,1737116567.424948,1737116568.022592,0.597644,2.699687,2.732450,0.032764,1
1737116570.557239,14,checkerboard195_inverted.png,1737116569.956750,1737116570.557239,0.600489,1.922256,1.934158,0.011902,1
1737116573.096129,15,checkerboard195.png,1737116572.496428,1737116573.096129,0.599702,1.912743,1.939189,0.026446,1
1737116574.995575,16,checkerboard195_inverted.png,1737116574.397988,1737116574.995575,0.597587,1.271353,1.301859,0.030506,1
1737116578.339545,17,checkerboard195.png,1737116577.733056,1737116578.339545,0.606490,2.711571,2.737481,0.025910,1
